id,date,mag,depth,latitude,longitude,Daerah_Terdampak,Populasi_Daerah,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,PASAMAN BARAT,458334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000re9s,2025-09-08,4.3,100.254,-0.2467,99.7911,TANAH DATAR,349381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000reb1,2025-09-09,4.8,23.241,-6.4137,131.4916,MALUKU TENGGARA BARAT,112413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rebg,2025-09-09,4.2,83.116,-9.4859,123.5792,KUPANG,390658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rebg,2025-09-09,4.2,83.116,-9.4859,123.5792,TIMOR TENGAH SELATAN,470615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rebg,2025-09-09,4.2,83.116,-9.4859,123.5792,TIMOR TENGAH UTARA,256375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redb,2025-10-03,5.3,10.0,-3.1055,136.3208,DOGIYAI,97771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redb,2025-10-03,5.3,10.0,-3.1055,136.3208,INTAN JAYA,50499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redb,2025-10-03,5.3,10.0,-3.1055,136.3208,NABIRE,146444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redb,2025-10-03,5.3,10.0,-3.1055,136.3208,PANIAI,170303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redb,2025-10-03,5.3,10.0,-3.1055,136.3208,PUNCAK,111393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redb,2025-10-03,5.3,10.0,-3.1055,136.3208,WAROPEN,31959.0,0.0,0.0,0.0,413.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redf,2025-10-03,4.4,10.0,-2.9425,136.3261,DOGIYAI,97771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redf,2025-10-03,4.4,10.0,-2.9425,136.3261,INTAN JAYA,50499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redf,2025-10-03,4.4,10.0,-2.9425,136.3261,NABIRE,146444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redf,2025-10-03,4.4,10.0,-2.9425,136.3261,PANIAI,170303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redf,2025-10-03,4.4,10.0,-2.9425,136.3261,PUNCAK,111393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000redf,2025-10-03,4.4,10.0,-2.9425,136.3261,WAROPEN,31959.0,0.0,0.0,0.0,413.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000ree0,2025-10-03,4.0,10.0,-3.1168,136.2347,DOGIYAI,97771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000ree0,2025-10-03,4.0,10.0,-3.1168,136.2347,INTAN JAYA,50499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000ree0,2025-10-03,4.0,10.0,-3.1168,136.2347,NABIRE,146444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000ree0,2025-10-03,4.0,10.0,-3.1168,136.2347,PANIAI,170303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000ree0,2025-10-03,4.0,10.0,-3.1168,136.2347,PUNCAK,111393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000ree0,2025-10-03,4.0,10.0,-3.1168,136.2347,WAROPEN,31959.0,0.0,0.0,0.0,413.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
